title,author,genre,year
Unique Book 62,Author 62,horror,1881
Unique Book 63,Author 63,biography,1900
Unique Book 64,Author 64,romance,1903
Unique Book 65,Author 65,horror,1851
Unique Book 66,Author 66,history,1972
Unique Book 67,Author 67,romance,1939
Unique Book 68,Author 68,history,1828
Unique Book 69,Author 69,biography,1945
Unique Book 70,Author 70,horror,1924
Unique Book 71,Author 71,horror,1870
Unique Book 72,Author 72,horror,1990
Unique Book 73,Author 73,romance,1918
Unique Book 74,Author 74,biography,1808
Unique Book 75,Author 75,romance,1857
Unique Book 76,Author 76,sci_fi,1983
Unique Book 77,Author 77,history,1896
Unique Book 78,Author 78,fantasy,1833
Unique Book 79,Author 79,horror,1972
Unique Book 80,Author 80,romance,1858
Unique Book 81,Author 81,horror,1816
Unique Book 82,Author 82,fiction,1987
Unique Book 83,Author 83,horror,1965
Unique Book 84,Author 84,biography,1802
Unique Book 85,Author 85,romance,1976
Unique Book 86,Author 86,romance,1899
Unique Book 87,Author 87,horror,1976
Unique Book 88,Author 88,romance,2006
Unique Book 89,Author 89,sci_fi,1807
Unique Book 90,Author 90,biography,1847
Unique Book 91,Author 91,history,1962
Unique Book 92,Author 92,history,1960
Unique Book 93,Author 93,romance,1902
Unique Book 94,Author 94,biography,1924
Unique Book 95,Author 95,sci_fi,1916
Unique Book 96,Author 96,romance,1829
Unique Book 97,Author 97,fiction,1995
Unique Book 98,Author 98,fiction,1977
Unique Book 99,Author 99,fiction,1934
Unique Book 100,Author 100,sci_fi,1903
Unique Book 101,Author 101,biography,1976
Unique Book 102,Author 102,fiction,1809
Unique Book 103,Author 103,fantasy,1860
Unique Book 104,Author 104,fiction,1817
Unique Book 105,Author 105,horror,1913
Unique Book 106,Author 106,horror,1855
Unique Book 107,Author 107,romance,1925
Unique Book 108,Author 108,fantasy,1912
Unique Book 109,Author 109,romance,1804
Unique Book 110,Author 110,biography,1953
Unique Book 111,Author 111,horror,1967
Unique Book 112,Author 112,horror,1963
Unique Book 113,Author 113,history,1985
Unique Book 114,Author 114,fantasy,2001
Unique Book 115,Author 115,romance,1907
Unique Book 116,Author 116,history,1956
Unique Book 117,Author 117,fiction,1890
Unique Book 118,Author 118,horror,1865
Unique Book 119,Author 119,biography,1842
Unique Book 120,Author 120,history,1958
Duplicate Book 1,Duplicate Author 1,fiction,1807
Duplicate Book 1,Duplicate Author 1,fiction,1807
Duplicate Book 2,Duplicate Author 2,fiction,1845
Duplicate Book 2,Duplicate Author 2,fiction,1845
Duplicate Book 3,Duplicate Author 3,sci_fi,2015
Duplicate Book 3,Duplicate Author 3,sci_fi,2015
Duplicate Book 4,Duplicate Author 4,romance,1851
Duplicate Book 4,Duplicate Author 4,romance,1851
Duplicate Book 5,Duplicate Author 5,history,1852
Duplicate Book 5,Duplicate Author 5,history,1852
Duplicate Book 6,Duplicate Author 6,fantasy,1905
Duplicate Book 6,Duplicate Author 6,fantasy,1905
Duplicate Book 7,Duplicate Author 7,biography,1862
Duplicate Book 7,Duplicate Author 7,biography,1862
Duplicate Book 8,Duplicate Author 8,biography,1885
Duplicate Book 8,Duplicate Author 8,biography,1885
Duplicate Book 9,Duplicate Author 9,history,1804
Duplicate Book 9,Duplicate Author 9,history,1804
Duplicate Book 10,Duplicate Author 10,history,1923
Duplicate Book 10,Duplicate Author 10,history,1923
Duplicate Book 11,Duplicate Author 11,biography,2004
Duplicate Book 11,Duplicate Author 11,biography,2004
Duplicate Book 12,Duplicate Author 12,sci_fi,1959
Duplicate Book 12,Duplicate Author 12,sci_fi,1959
Duplicate Book 13,Duplicate Author 13,fantasy,1940
Duplicate Book 13,Duplicate Author 13,fantasy,1940
Duplicate Book 14,Duplicate Author 14,history,1955
Duplicate Book 14,Duplicate Author 14,history,1955
Duplicate Book 15,Duplicate Author 15,fantasy,1990
Duplicate Book 15,Duplicate Author 15,fantasy,1990
Wrong Genre C,Author O,adventure,2019
Ancient Book A,Author Z,history,1500
,,history,2020
Future Book B,Author Y,fantasy,3000
Wrong Genre C,Author O,adventure,2019
Empty Author Book,,fantasy,2020
Ancient Book B,Author K,romance,1200
Future Book B,Author Y,fantasy,3000
Ancient Book A,Author Z,history,1500
Ancient Book B,Author K,romance,1200
Future Book B,Author Y,fantasy,3000
Empty Author Book,,fantasy,2020
Future Book A,Author X,fiction,2030
Wrong Genre B,Author N,thriller,2021
Wrong Genre C,Author O,adventure,2019
,,history,2020
Empty Author Book,,fantasy,2020
Ancient Book A,Author Z,history,1500
Ancient Book B,Author K,romance,1200
Ancient Book A,Author Z,history,1500
Future Book B,Author Y,fantasy,3000
Ancient Book B,Author K,romance,1200
Future Book B,Author Y,fantasy,3000
Wrong Genre C,Author O,adventure,2019
Ancient Book A,Author Z,history,1500
Wrong Genre A,Author M,mystery,2020
Wrong Genre A,Author M,mystery,2020
Ancient Book A,Author Z,history,1500
Future Book B,Author Y,fantasy,3000
,Author EmptyTitle,fiction,2020
,,history,2020
Wrong Genre A,Author M,mystery,2020
,,history,2020
Wrong Genre C,Author O,adventure,2019
Ancient Book B,Author K,romance,1200
Ancient Book A,Author Z,history,1500
Wrong Genre A,Author M,mystery,2020
,Author EmptyTitle,fiction,2020
Ancient Book A,Author Z,history,1500
Future Book B,Author Y,fantasy,3000
Wrong Genre C,Author O,adventure,2019
,Author EmptyTitle,fiction,2020
Wrong Genre A,Author M,mystery,2020
Wrong Genre C,Author O,adventure,2019
Future Book B,Author Y,fantasy,3000
Wrong Genre B,Author N,thriller,2021
Wrong Genre A,Author M,mystery,2020
Empty Author Book,,fantasy,2020
Ancient Book A,Author Z,history,1500
Future Book B,Author Y,fantasy,3000
